nome_empre,cidade,industria,consumo_anual_ton,lon,lat,tipo_residuo_exigido,demanda_mensal_ton
USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS,IPATINGA,Aço,858601.8833,-42.5569703826408,-19.493675976677185,Lenhoso,71550.15694166666
GERDAU ACOMINAS S/A,OURO BRANCO,Aço,533871.0147,-43.74237376941209,-20.54547115885307,Lenhoso,44489.25122500001
APERAM INOX AMERICA DO SUL S.A.,Timóteo,Aço,403131.6518,-42.64340842984558,-19.53140653077176,Lenhoso,33594.30431666667
VALLOUREC SOLUCOES TUBULARES DO BRASIL S.A.,JECEABA,Aço,331233.6585,-43.97277465803661,-20.577958466933147,Lenhoso,27602.804875
ARCELORMITTAL BRASIL S.A.,JUIZ DE FORA,Aço,310532.6138,-43.462634492147245,-21.627624641032146,Lenhoso,25877.717816666667
ARCELORMITTAL BRASIL S.A.,JOÃO MONLEVADE,Aço,309656.3824,-43.13013905818289,-19.83023776578657,Lenhoso,25804.698533333332
GERDAU ACOS LONGOS S.A.,DIVINÓPOLIS,Aço,87530.5166,-44.87941953828877,-20.15452263902049,Lenhoso,7294.209716666667
VALLOUREC SOLUCOES TUBULARES DO BRASIL S.A.,BELO HORIZONTE,Aço,78070.51652,-44.01149262978878,-19.97010910989047,Lenhoso,6505.876376666667
GERDAU ACOS LONGOS S.A.,BARÃO DE COCAIS,Aço,31655.35598,-43.479026308054735,-19.937114867058003,Lenhoso,2637.9463316666665
EMPRESA DE CIMENTOS LIZ S.A,VESPASIANO,Cimenteira,131888.63,-43.92484785059272,-19.68546445492641,Agro_Seco,10990.719166666668
INTERCEMENT BRASIL S.A.,IJACI,Cimenteira,125965.52,-44.940688227638645,-21.192814039619112,Agro_Seco,10497.126666666667
CSN CIMENTOS BRASIL S.A.,PEDRO LEOPOLDO,Cimenteira,104328.31,-44.05710331812214,-19.608004155224556,Agro_Seco,8694.025833333333
VOTORANTIM CIMENTOS S.A.,ITAÚ DE MINAS,Cimenteira,89713.37,-46.763154707266665,-20.761105072690945,Agro_Seco,7476.114166666666
COMPANHIA NACIONAL DE CIMENTO - CNC,SETE LAGOAS,Cimenteira,85021.06,-44.2743356889107,-19.51343785390497,Agro_Seco,7085.088333333333
CSN CIMENTOS BRASIL S.A.,BARROSO,Cimenteira,130862.98,-43.98606170408272,-21.181683101297786,Agro_Seco,10905.248333333333
CSN CIMENTOS S.A.,ARCOS,Cimenteira,70417.63,-45.57895294474867,-20.3129985862914,Agro_Seco,5868.135833333334
CSN CIMENTOS BRASIL S.A.,MONTES CLAROS,Cimenteira,50986.93,-43.89133273860817,-16.67246920864001,Agro_Seco,4248.910833333333
INTERCEMENT BRASIL S.A.,SANTANA DO PARAÍSO,Cimenteira,12894.91,-42.47959724844282,-19.476433472666827,Agro_Seco,1074.5758333333333
CSN CIMENTOS BRASIL S.A.,BARBACENA,Cimenteira,709.22,-43.768449301013206,-21.21278304288426,Agro_Seco,59.10166666666667
INTERCEMENT BRASIL S.A.,PEDRO LEOPOLDO,Cimenteira,664.33,-44.02784119900188,-19.62747641240505,Agro_Seco,55.36083333333334
